id	title	description	link	image_link	brand	condition	availability	price	short_description	product_type	google_product_category	gender
2768	GRAY HANDBLOCK PRINTED KURTI	This products is handmade and hand dyed, you may find certain irregularities in the pattern, this is trademark to all hand dyed products and only adds to its unique charm ..	https://www.chidiyaa.com/gray-handblock-printed-kurti.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_8221.jpg	Chidiyaa	new	in stock	35.00 USD	Beautifully block printed cottons with just the hint of blush.. Get into the festive mode, we bring you 'Ruhani'	Ajrakh Love > Shop > Kurtis & Bottoms | Ajrakh Love > Ruhani		
2775	GRAY HANDBLOCK ELSATICATED PANTS-Small	This products is handmade and hand dyed, you may find certain irregularities in the pattern, this is trademark to all hand dyed products and only adds to its unique charm ..	https://www.chidiyaa.com/gray-handblock-elsaticated-pants-small.html	https://www.chidiyaa.com/media/catalog/productno_selection	Chidiyaa	new	in stock	30.00 USD	Beautifully block printed cottons with just the hint of blush.. Get into the festive mode, we bring you 'Ruhani'			
2776	GRAY HANDBLOCK ELSATICATED PANTS-Medium	This products is handmade and hand dyed, you may find certain irregularities in the pattern, this is trademark to all hand dyed products and only adds to its unique charm ..	https://www.chidiyaa.com/gray-handblock-elsaticated-pants-medium.html	https://www.chidiyaa.com/media/catalog/productno_selection	Chidiyaa	new	in stock	30.00 USD	Beautifully block printed cottons with just the hint of blush.. Get into the festive mode, we bring you 'Ruhani'			
2777	GRAY HANDBLOCK ELSATICATED PANTS-Large	This products is handmade and hand dyed, you may find certain irregularities in the pattern, this is trademark to all hand dyed products and only adds to its unique charm ..	https://www.chidiyaa.com/gray-handblock-elsaticated-pants-large.html	https://www.chidiyaa.com/media/catalog/productno_selection	Chidiyaa	new	in stock	30.00 USD	Beautifully block printed cottons with just the hint of blush.. Get into the festive mode, we bring you 'Ruhani'			
2778	GRAY HANDBLOCK ELSATICATED PANTS-XL	This products is handmade and hand dyed, you may find certain irregularities in the pattern, this is trademark to all hand dyed products and only adds to its unique charm ..	https://www.chidiyaa.com/gray-handblock-elsaticated-pants-xl.html	https://www.chidiyaa.com/media/catalog/productno_selection	Chidiyaa	new	in stock	30.00 USD	Beautifully block printed cottons with just the hint of blush.. Get into the festive mode, we bring you 'Ruhani'			
2779	GRAY HANDBLOCK ELSATICATED PANTS-XXL	This products is handmade and hand dyed, you may find certain irregularities in the pattern, this is trademark to all hand dyed products and only adds to its unique charm ..	https://www.chidiyaa.com/gray-handblock-elsaticated-pants-xxl.html	https://www.chidiyaa.com/media/catalog/productno_selection	Chidiyaa	new	in stock	30.00 USD	Beautifully block printed cottons with just the hint of blush.. Get into the festive mode, we bring you 'Ruhani'			
2844	MAJENTA BLOCK PRINTED CROP TOP BLOUSE WITH BELL SLEEVES	This products is handmade and hand dyed, you may find certain irregularities in the pattern, this is trademark to all hand dyed products and only adds to its unique charm ..	https://www.chidiyaa.com/majenta-block-printed-crop-top-with-bell-sleeves.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7939_2.jpg	Chidiyaa	new	in stock	23.00 USD	As beautiful as the Mogra. This crop top is handcrafted in the softest mulmul. Designed with well placed block prints using motifs from Rajasthan, which are century old, passed on from one generation to the order.. making every piece one of it's kind. Presenting Magenta Block Printed Crop Top Blouse with Bell Sleeves, perfect when teamed with our Signature Sarees..	Ajrakh Love > The Rain Sky | Ajrakh Love > Shop > Blouses		
2850	IVORY BLUE BLOCKPRINTED FLORAL CROP TOP BLOUSE	This products is handmade and hand dyed, you may find certain irregularities in the pattern, this is trademark to all hand dyed products and only adds to its unique charm ..	https://www.chidiyaa.com/ivory-blue-blockprinted-floral-crop-top.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7855_1.jpg	Chidiyaa	new	in stock	23.00 USD	As beautiful as the Mogra. This crop top is handcrafted in the softest mulmul. Designed with well placed block prints using motifs from Rajasthan, which are century old, passed on from one generation to the order.. making every piece one of it's kind. Presenting Ivory Blue Blockprinted Floral Crop Top Blouse. Beautifully block printed, perfect when teamed with our Signature Sarees..	Ajrakh Love > The Rain Sky | Ajrakh Love > Shop > Blouses		
2856	Indigo Clamp dyed Cotton Mul Saree	This Saree is handmade and hand dyed, you may find certain irregularity in the design. This only adds to the unique charm of this garment.    NOTE: This product does not include the crop top, top is available for purchase separately	https://www.chidiyaa.com/indigo-clamp-dyed-cotton-mul-saree.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7778.jpg	Chidiyaa	new	in stock	48.00 USD	Inspired by the rain sky.. Presenting Indigo Clamp dyed Cotton Mul Saree. These sarees are handcrafted in the softest mulmul and dyed in natural Indigo. Paired with our crop tops for the signature look..	Ajrakh Love > Shop > Sarees | Ajrakh Love > The Rain Sky		
2859	Indigo Clamp dyed Cotton Mul Saree	This Saree is handmade and hand dyed, you may find certain irregularity in the design. This only adds to the unique charm of this garment.    NOTE: This product does not include the crop top, top is available for purchase separately	https://www.chidiyaa.com/indigo-clamp-dyed-cotton-mul-saree-2895.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7910.jpg	Chidiyaa	new	in stock	48.00 USD	Inspired by the rain sky.. Presenting Indigo Clamp dyed Cotton Mul Saree. These sarees are handcrafted in the softest mulmul and dyed in natural Indigo. Paired with our crop tops for the signature look..	Ajrakh Love > Shop > Sarees | Ajrakh Love > The Rain Sky		
